states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
TEXAS,0.4294,0.0017,0.0692,0.1857,0.0005,0.2959,0.72,High Concern,0.79,High Concern,0.0,0.17
TEXAS,0.1311,0.0025,0.0079,0.2067,0.0002,0.6359,0.73,High Concern,0.94,Very High Concern,0.0,0.19
TEXAS,0.1275,0.0144,0.0,0.0079,0.0,0.8405,0.61,High Concern,0.78,High Concern,0.0,0.19
TEXAS,0.1899,0.0114,0.0,0.0588,0.0,0.7169,0.73,High Concern,0.96,Very High Concern,0.0,0.19
TEXAS,0.1039,0.006,0.0029,0.0067,0.0,0.8644,0.47,Moderate Concern,0.76,High Concern,0.0,0.19
TEXAS,0.1224,0.0306,0.0,0.0,0.0,0.8469,0.76,High Concern,0.83,Very High Concern,0.0,0.18
TEXAS,0.3543,0.0036,0.0213,0.066,0.0007,0.5347,0.75,High Concern,0.74,High Concern,0.0,0.17
TEXAS,0.0414,0.0011,0.0032,0.229,0.0041,0.7085,0.69,High Concern,0.97,Very High Concern,0.0,0.19
TEXAS,0.1097,0.0082,0.0,0.0067,0.0,0.8579,0.58,Moderate Concern,0.93,Very High Concern,0.0,0.19
TEXAS,0.3988,0.018,0.0043,0.0902,0.0,0.4789,0.62,High Concern,0.97,Very High Concern,0.0,0.18
TEXAS,0.5197,0.0017,0.0069,0.0247,0.0004,0.4357,0.67,High Concern,0.95,Very High Concern,0.0,0.17
TEXAS,0.2317,0.0011,0.0336,0.1627,0.0007,0.55,0.84,Very High Concern,0.96,Very High Concern,0.0,0.18
TEXAS,0.4167,0.0014,0.0,0.0,0.0,0.5484,0.59,Moderate Concern,0.97,Very High Concern,0.0,0.18
TEXAS,0.4473,0.0033,0.0191,0.0622,0.0005,0.4541,0.47,Moderate Concern,0.72,High Concern,0.0,0.16
TEXAS,0.2219,0.0,0.0241,0.0005,0.0,0.7418,0.36,Low Concern,0.81,Very High Concern,0.0,0.18
TEXAS,0.4974,0.0116,0.0,0.0,0.0,0.491,0.76,High Concern,0.83,Very High Concern,0.0,0.18
TEXAS,0.4245,0.0027,0.0193,0.1029,0.0033,0.4363,0.91,Very High Concern,0.94,Very High Concern,0.0,0.17
TEXAS,0.2643,0.0027,0.0052,0.092,0.0,0.6236,0.76,High Concern,0.95,Very High Concern,0.0,0.18
TEXAS,0.2414,0.0019,0.0292,0.048,0.0004,0.6602,0.39,Low Concern,0.67,High Concern,0.0,0.16
TEXAS,0.4496,0.0018,0.0007,0.0085,0.0,0.5394,0.42,Moderate Concern,0.89,Very High Concern,0.0,0.18
TEXAS,0.2099,0.0018,0.0022,0.0039,0.0,0.7822,0.77,High Concern,0.95,Very High Concern,0.0,0.19
TEXAS,0.9518,0.012,0.0055,0.0032,0.0004,0.025,0.97,Very High Concern,1.0,Very High Concern,0.0,0.17
TEXAS,0.7469,0.0,0.0132,0.0134,0.0014,0.2228,0.78,High Concern,0.98,Very High Concern,0.0,0.18
TEXAS,0.5044,0.001,0.0029,0.0648,0.0,0.4164,0.94,Very High Concern,0.99,Very High Concern,0.0,0.18
TEXAS,0.6329,0.0012,0.0034,0.0119,0.0,0.341,0.76,High Concern,0.97,Very High Concern,0.0,0.19
TEXAS,0.2163,0.0034,0.0173,0.0252,0.0026,0.7165,0.22,Low Concern,0.6,High Concern,0.0,0.16
TEXAS,0.6883,0.0,0.0016,0.0085,0.0,0.2977,0.48,Moderate Concern,0.94,Very High Concern,0.0,0.18
TEXAS,0.1229,0.0052,0.0054,0.0124,0.0004,0.8347,0.26,Low Concern,0.68,High Concern,0.0,0.17
TEXAS,0.3832,0.0041,0.0539,0.0979,0.002,0.4407,0.92,Very High Concern,0.87,Very High Concern,0.0,0.2
TEXAS,0.2626,0.0,0.0006,0.0056,0.0,0.7309,0.72,High Concern,0.93,Very High Concern,0.0,0.17
TEXAS,0.0872,0.0015,0.0007,0.1728,0.0,0.7318,0.7,High Concern,0.92,Very High Concern,0.0,0.19
TEXAS,0.8374,0.0195,0.0135,0.0,0.0,0.1296,1.0,Very High Concern,0.99,Very High Concern,0.0,0.18
TEXAS,0.1527,0.0145,0.0077,0.0969,0.0014,0.7089,0.91,Very High Concern,0.97,Very High Concern,0.0,0.2
TEXAS,0.0728,0.0032,0.0008,0.1675,0.0,0.7339,0.56,Moderate Concern,0.99,Very High Concern,0.0,0.19
TEXAS,0.0912,0.0055,0.0036,0.0353,0.0,0.8533,0.4,Moderate Concern,0.89,Very High Concern,0.0,0.18
TEXAS,0.6878,0.0101,0.0061,0.0343,0.0015,0.2518,0.82,Very High Concern,0.98,Very High Concern,0.0,0.18
TEXAS,0.2127,0.0,0.0,0.0203,0.0,0.7588,0.32,Low Concern,0.79,High Concern,0.0,0.18
TEXAS,0.5207,0.0,0.0,0.0,0.0,0.4695,0.41,Moderate Concern,0.8,Very High Concern,0.0,0.18
TEXAS,0.2374,0.0,0.0033,0.0283,0.0,0.7109,0.88,Very High Concern,0.86,Very High Concern,0.0,0.18
TEXAS,0.6564,0.0003,0.0,0.0008,0.0016,0.341,0.6,High Concern,0.94,Very High Concern,0.0,0.18
TEXAS,0.9547,0.0004,0.0048,0.0029,0.0001,0.0353,0.95,Very High Concern,0.99,Very High Concern,0.0,0.17
TEXAS,0.3381,0.0017,0.0662,0.0786,0.0003,0.4896,0.38,Low Concern,0.69,High Concern,0.0,0.15
TEXAS,0.55,0.0012,0.0,0.0461,0.0,0.3949,0.99,Very High Concern,0.99,Very High Concern,0.0,0.17
TEXAS,0.8819,0.0,0.0,0.0055,0.0,0.1124,0.99,Very High Concern,0.98,Very High Concern,0.0,0.17
VIRGINIA,0.0265,0.0081,0.012,0.1607,0.0,0.7677,0.04,Very Low Concern,0.06,Very Low Concern,0.096,0.14
VIRGINIA,0.0062,0.0,0.0084,0.3082,0.0,0.6748,0.16,Very Low Concern,0.11,Very Low Concern,0.185,0.15
