,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
759,0.0231,0.0064,0.0045,0.2714,0.0076,0.6721,0.85,0.79,0.25,0.2311278473051472
760,0.0728,0.0017,0.0091,0.3046,0.0062,0.5923,0.85,0.83,0.24,0.2268280023997797
761,0.0162,0.0,0.0,0.0,0.0,0.9809,0.13,0.4,0.28,0.19553855352978486
762,0.0313,0.0012,0.0027,0.377,0.0,0.5739,0.85,0.79,0.23,0.2321531028994997
763,0.0132,0.0,0.0,0.2637,0.0,0.7205,0.95,0.96,0.26,0.2416675299596847
764,0.0306,0.0,0.0044,0.399,0.0123,0.5352,0.94,0.83,0.26,0.23792855699063048
765,0.0356,0.0299,0.0007,0.0034,0.0,0.912,0.76,0.56,0.25,0.21070041361172429
766,0.0298,0.0007,0.0245,0.207,0.0012,0.7164,0.35,0.51,0.25,0.19790656890496125
767,0.0457,0.0004,0.0021,0.1757,0.0,0.7564,0.52,0.73,0.22,0.21591759137160954
768,0.0383,0.0012,0.0041,0.2829,0.0,0.6678,0.84,0.91,0.26,0.23409387852894456
769,0.08199999999999999,0.0039,0.0247,0.0128,0.0014,0.8466,0.14,0.13,0.24,0.16573836615452575
770,0.0123,0.003,0.0,0.1021,0.0003,0.8738,0.69,0.81,0.26,0.22547606145372176
771,0.1707,0.0136,0.026,0.026,0.0036,0.7264,0.59,0.54,0.28,0.18272588978785148
772,0.0342,0.0027,0.0,0.0004,0.001,0.9328,0.3,0.5,0.24,0.19789188689886297
773,0.1178,0.0026,0.0135,0.295,0.0,0.5585,0.88,0.83,0.26,0.21947685432338648
774,0.034,0.0372,0.004,0.0014,0.0002,0.9096,0.54,0.47,0.24,0.20349664937513295
775,0.1504,0.0013,0.0034,0.0104,0.0,0.8254,0.71,0.81,0.25,0.20777418317352575
776,0.0365,0.0002,0.0093,0.1924,0.0,0.7481,0.72,0.77,0.24,0.22024015198990002
777,0.0456,0.004,0.0098,0.3409,0.0,0.5852,0.87,0.78,0.25,0.22691340356333292
778,0.0141,0.0,0.0,0.624,0.0,0.3465,0.97,0.77,0.24,0.24352897794459316
779,0.041,0.0056,0.0105,0.2984,0.0006,0.6335,0.84,0.77,0.28,0.22564439269332903
780,0.0363,0.0797,0.0032,0.0007,0.0078,0.8464,0.73,0.43,0.25,0.2086676732103639
781,0.2721,0.0108,0.0059,0.0022,0.0002,0.6984,0.67,0.27,0.27,0.17099858085288197
782,0.0368,0.0019,0.0217,0.3611,0.0,0.5628,0.9,0.81,0.26,0.22534434272971998
783,0.0177,0.0017,0.0025,0.0374,0.0005,0.9325,0.39,0.39,0.18,0.1988459479353031
784,0.0246,0.0043,0.0072,0.009000000000000001,0.0008,0.9477,0.12,0.58,0.2,0.20016278569263818
785,0.0264,0.002,0.0117,0.041,0.0,0.897,0.48,0.37,0.18,0.19314858214748296
786,0.0462,0.0021,0.0024,0.0006,0.0,0.9459,0.09,0.18,0.24,0.18161183585443574
787,0.0105,0.0008,0.0029,0.0068,0.0004,0.9722,0.09,0.38,0.18,0.19342919198916894
788,0.1586,0.0016,0.0035,0.0067,0.001,0.8214,0.57,0.78,0.2,0.2038847089189281
789,0.218,0.003,0.0118,0.0209,0.0,0.73,0.47,0.35,0.16,0.17359721599557879
