,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predicted_y
1839,0.0156,0.0032,0.008,0.0065,0.0,0.9501,0.15,0.15,0.15,0.1501
32,0.0731,0.0016,0.0069,0.1354,0.0,0.7555,0.55,0.22,0.13,0.17879999999999996
211,0.0429,0.0054,0.0241,0.0084,0.0,0.9091,0.02,0.06,0.16,0.15209999999999999
2543,0.0272,0.0054,0.0037,0.02,0.0,0.926,0.26,0.82,0.27,0.2333000000000002
14,0.095,0.0017,0.1291,0.0332,0.0002,0.7170000000000001,0.04,0.44,0.16,0.10509999999999994
93,0.1091,0.001,0.0118,0.0538,0.0004,0.8042,0.13,0.15,0.16,0.14950000000000008
2746,0.2634,0.0018,0.0158,0.1426,0.0002,0.5593,0.84,0.88,0.18,0.19080000000000003
2498,0.0385,0.0382,0.0034,0.0025,0.0,0.8983,0.23,0.24,0.21,0.22559999999999988
831,0.0295,0.0004,0.002,0.0584,0.0,0.8824,0.75,0.62,0.18,0.21430000000000005
354,0.1397,0.0036,0.006,0.0267,0.0005,0.8075,0.73,0.64,0.21,0.1989
149,0.2099,0.0018,0.0022,0.0039,0.0,0.7822,0.77,0.95,0.19,0.18720000000000006
254,0.1539,0.0,0.0006,0.28800000000000003,0.0,0.555,0.98,0.73,0.23,0.21450000000000005
1423,0.0507,0.0012,0.0182,0.1038,0.0008,0.7893,0.61,0.28,0.15,0.1732000000000001
2575,0.014,0.0024,0.0043,0.0032,0.0,0.9631,0.73,0.81,0.27,0.22679999999999992
184,0.011,0.0,0.0126,0.5668,0.0,0.3686,0.72,0.36,0.17,0.19870000000000004
1760,0.0162,0.0029,0.0054,0.0059,0.0006,0.9595,0.44,0.65,0.16,0.18760000000000002
1091,0.0269,0.0023,0.001,0.008,0.0,0.9329,0.2,0.33,0.19,0.18450000000000005
789,0.218,0.003,0.0118,0.0209,0.0,0.73,0.47,0.35,0.16,0.16819999999999993
1159,0.0198,0.0,0.0175,0.0417,0.0,0.8853,0.13,0.39,0.19,0.16510000000000002
471,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,0.9,0.69,0.13,0.1435
2889,0.077,0.0011,0.0033,0.1064,0.0,0.7902,0.88,0.98,0.21,0.23580000000000015
1957,0.0209,0.101,0.0,0.002,0.0001,0.8659,0.63,0.79,0.18,0.2161
930,0.041,0.0017,0.0145,0.2984,0.0001,0.6164,0.52,0.41,0.18,0.18630000000000002
2223,0.0315,0.0178,0.0038,0.0069,0.0,0.9127,0.12,0.18,0.29,0.20969999999999994
257,0.014,0.0006,0.0035,0.4503,0.0,0.516,0.87,0.88,0.23,0.25920000000000004
1797,0.0251,0.0356,0.0048,0.0002,0.0012,0.879,0.23,0.21,0.17,0.23629999999999995
2900,0.0305,0.0035,0.0091,0.2219,0.0007,0.7067,0.34,0.14,0.17,0.18220000000000006
2883,0.1,0.0073,0.0064,0.0492,0.0008,0.8246,0.63,0.87,0.18,0.1988000000000001
2590,0.0441,0.0024,0.0038,0.1024,0.0002,0.8289,0.77,0.77,0.26,0.22220000000000004
2974,0.0124,0.0011,0.0041,0.0529,0.0005,0.9146,0.86,0.54,0.19,0.22130000000000016
1940,0.021,0.0311,0.0079,0.0141,0.0,0.9058,0.73,0.43,0.16,0.18630000000000005
1299,0.0082,0.0027,0.004,0.0155,0.0,0.9492,0.68,0.24,0.22,0.23590000000000022
1960,0.0333,0.0039,0.002,0.0208,0.0016,0.934,0.22,0.7,0.18,0.2005
2376,0.031,0.0009,0.0059,0.4723,0.0,0.4772,0.98,0.81,0.21,0.2552000000000002
2196,0.015,0.001,0.0046,0.0087,0.0002,0.9537,0.29,0.3,0.24,0.1722999999999999
1880,0.0705,0.0049,0.0419,0.0381,0.0007,0.8122,0.3,0.12,0.17,0.13510000000000003
776,0.0365,0.0002,0.0093,0.1924,0.0,0.7481,0.72,0.77,0.24,0.24649999999999989
594,0.0992,0.0051,0.004,0.1928,0.0,0.6912,0.97,0.92,0.27,0.23380000000000029
174,0.0062,0.0,0.0084,0.3082,0.0,0.6748,0.16,0.11,0.15,0.16430000000000014
2588,0.124,0.0022,0.002,0.0791,0.0004,0.768,0.78,0.79,0.25,0.21830000000000002
2241,0.0139,0.0028,0.0064,0.0331,0.0,0.9263,0.28,0.12,0.24,0.19250000000000023
120,0.1527,0.0033,0.1509,0.0963,0.0006,0.5696,0.15,0.49,0.13,0.10959999999999992
2829,0.0231,0.0031,0.0175,0.0121,0.0004,0.9255,0.1,0.1,0.07,0.14940000000000006
528,0.0826,0.0,0.0017,0.1519,0.0023,0.7351,0.94,0.88,0.28,0.2501
1444,0.0164,0.0003,0.005,0.0051,0.0,0.9628,0.22,0.49,0.12,0.18039999999999995
1321,0.0151,0.0049,0.0051,0.0047,0.0001,0.9516,0.15,0.18,0.13,0.1507999999999999
1089,0.0256,0.0175,0.0045,0.0059,0.0037,0.8801,0.38,0.56,0.22,0.19960000000000014
1018,0.0341,0.0018,0.0667,0.0303,0.0002,0.8351,0.45,0.63,0.17,0.18410000000000004
439,0.1009,0.0,0.0221,0.0092,0.0,0.8533,0.07,0.27,0.14,0.15250000000000002
1377,0.0222,0.0001,0.0038,0.3579,0.0,0.6057,0.86,0.85,0.26,0.2569000000000001
2765,0.2982,0.0,0.005,0.0268,0.0,0.67,0.88,0.93,0.17,0.19089999999999993
602,0.0689,0.0043,0.0077,0.1903,0.0009,0.7025,0.78,0.68,0.26,0.2217000000000001
188,0.028,0.0008,0.0247,0.0112,0.0,0.9144,0.01,0.07,0.13,0.15300000000000005
945,0.0088,0.0028,0.0023,0.0115,0.0004,0.9643,0.45,0.55,0.2,0.2027
1251,0.0469,0.0028,0.0015,0.2475,0.0003,0.6892,0.81,0.85,0.26,0.23100000000000023
2050,0.3891,0.1207,0.0118,0.0207,0.0013,0.4349,0.48,0.36,0.14,0.21000000000000005
1113,0.0011,0.0015,0.0001,0.0011,0.0002,0.9902,0.8,0.35,0.19,0.2211000000000001
270,0.1254,0.0023,0.0027,0.2088,0.0009,0.6414,0.9,0.86,0.22,0.23129999999999998
2967,0.0367,0.0191,0.0165,0.0057,0.0005,0.8838,0.24,0.22,0.12,0.1888
